timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631701739166,1085,Sign in,308,Permanent Redirect,Amazon testing 1-12,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1085,0,1041
1631701739177,1084,Sign in,308,Permanent Redirect,Amazon testing 1-13,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1084,0,1045
1631701739176,1089,Home,308,Permanent Redirect,Amazon testing 1-8,,true,,281,119,30,30,http://www.amazon.com/,1089,0,1049
1631701740210,81,Cart,308,Permanent Redirect,Amazon testing 1-16,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,81,0,41
1631701740212,83,Search,308,Permanent Redirect,Amazon testing 1-11,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,83,0,42
1631701739215,1087,Home,308,Permanent Redirect,Amazon testing 1-19,,true,,281,119,30,30,http://www.amazon.com/,1087,0,1041
1631701740265,75,Cart,308,Permanent Redirect,Amazon testing 1-8,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,75,0,37
1631701740261,85,Search,308,Permanent Redirect,Amazon testing 1-13,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,85,0,42
1631701740341,76,Sign in,308,Permanent Redirect,Amazon testing 1-8,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,76,0,38
1631701740346,91,Home,308,Permanent Redirect,Amazon testing 1-13,,true,,281,119,30,30,http://www.amazon.com/,91,0,51
1631701739371,1091,Home,308,Permanent Redirect,Amazon testing 1-14,,true,,281,119,30,30,http://www.amazon.com/,1091,0,1052
1631701740417,75,Search,308,Permanent Redirect,Amazon testing 1-8,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,75,0,37
1631701739414,1082,Home,308,Permanent Redirect,Amazon testing 1-25,,true,,281,119,30,30,http://www.amazon.com/,1082,0,1042
1631701739414,1086,Sign in,308,Permanent Redirect,Amazon testing 1-20,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1086,0,1046
1631701739421,1089,Search,308,Permanent Redirect,Amazon testing 1-18,,true,,308,146,30,30,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,1089,0,1049
1631701740437,76,Cart,308,Permanent Redirect,Amazon testing 1-13,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,76,0,39
1631701739174,1360,Sign in,308,Permanent Redirect,Amazon testing 1-3,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1360,0,1051
1631701739479,1091,Home,308,Permanent Redirect,Amazon testing 1-27,,true,,281,119,30,30,http://www.amazon.com/,1091,0,1052
1631701740493,81,Home,308,Permanent Redirect,Amazon testing 1-8,,true,,281,119,30,30,http://www.amazon.com/,81,0,41
1631701740496,85,Cart,308,Permanent Redirect,Amazon testing 1-25,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,85,0,43
1631701739627,1083,Cart,308,Permanent Redirect,Amazon testing 1-29,,true,,312,150,30,30,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,1083,0,1043
1631701739675,1080,Sign in,308,Permanent Redirect,Amazon testing 1-28,,true,,677,515,30,30,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1080,0,1041
